first_node_id,second_node_id,center_distance_px,visual_radius_sum_px,hit_radius_sum_px,visual_overlap,hit_overlap,classification,disposition
ANODE_35545549419BBA5C7CAC163E,ANODE_B1E760C8ED64BFB514430598,32.07,22.01,44.00,false,true,CANDIDATE_ONLY,"upstream review; deterministic nearest hit plus DOM alternative"
ANODE_35545549419BBA5C7CAC163E,ANODE_1E243058E6185B27816CADF2,20.01,24.61,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_35545549419BBA5C7CAC163E,ANODE_D48C20F6FC0CF862455DE93F,19.20,26.68,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_35545549419BBA5C7CAC163E,ANODE_491D5DCB87021D835E62BE77,20.83,22.76,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_B1E760C8ED64BFB514430598,ANODE_1E243058E6185B27816CADF2,19.22,28.05,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_B1E760C8ED64BFB514430598,ANODE_D48C20F6FC0CF862455DE93F,16.96,30.11,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_B1E760C8ED64BFB514430598,ANODE_491D5DCB87021D835E62BE77,11.37,26.19,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_B1E760C8ED64BFB514430598,ANODE_F6FDA076C8D867386DC8F08A,16.14,34.72,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_B1E760C8ED64BFB514430598,ANODE_04B045B567F1636F7DA030D4,35.82,31.16,44.00,false,true,CANDIDATE_ONLY,"upstream review; deterministic nearest hit plus DOM alternative"
ANODE_1E243058E6185B27816CADF2,ANODE_D48C20F6FC0CF862455DE93F,19.64,32.72,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_1E243058E6185B27816CADF2,ANODE_491D5DCB87021D835E62BE77,10.82,28.80,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_1E243058E6185B27816CADF2,ANODE_F6FDA076C8D867386DC8F08A,27.92,37.33,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_1E243058E6185B27816CADF2,ANODE_04B045B567F1636F7DA030D4,42.47,33.76,44.00,false,true,CANDIDATE_ONLY,"upstream review; deterministic nearest hit plus DOM alternative"
ANODE_D48C20F6FC0CF862455DE93F,ANODE_491D5DCB87021D835E62BE77,10.29,30.86,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_D48C20F6FC0CF862455DE93F,ANODE_F6FDA076C8D867386DC8F08A,32.96,39.39,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_491D5DCB87021D835E62BE77,ANODE_F6FDA076C8D867386DC8F08A,25.31,35.47,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_491D5DCB87021D835E62BE77,ANODE_04B045B567F1636F7DA030D4,43.41,31.91,44.00,false,true,CANDIDATE_ONLY,"upstream review; deterministic nearest hit plus DOM alternative"
ANODE_F6FDA076C8D867386DC8F08A,ANODE_04B045B567F1636F7DA030D4,19.93,40.44,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_E488BDA6398875DB653D7A71,ANODE_7F4D62F0A56331262C5D5748,21.55,26.50,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
ANODE_7043CA899EEFE3AFF2A42967,ANODE_E4D3347772CAED46EC96CEF9,23.08,35.18,44.00,true,true,CANDIDATE_ONLY,"upstream display coordinate blocker"
