selection_order,atlas_node_id,answer_type,status,topic_bin_id,normalized_mass,representative_evidence_id
1,ANODE_A0ED3C29A19856E591EE1054,A1,unresolved,TBIN_7D59FD5397ED4F0022C87434,0.116279069767,
2,ANODE_040F8E9D865B2678B1EA8480,A2,unresolved,TBIN_BD6EEAFA63A92EF2A9B8A2C2,0.46511627907,
3,ANODE_180E2CC6C6E853D0B7C74978,A3,unresolved,TBIN_E2912C7E499A2C77C881C15D,0.023255813953,
4,ANODE_B1E760C8ED64BFB514430598,A4,unresolved,TBIN_E2912C7E499A2C77C881C15D,0.145348837209,
5,ANODE_1E243058E6185B27816CADF2,A5,unresolved,TBIN_E2912C7E499A2C77C881C15D,0.308139534884,
6,ANODE_D48C20F6FC0CF862455DE93F,A6,unresolved,TBIN_E2912C7E499A2C77C881C15D,0.479651162791,
7,ANODE_491D5DCB87021D835E62BE77,A7,unresolved,TBIN_2953D5007F7059B68F1574DA,0.186046511628,
8,ANODE_F6FDA076C8D867386DC8F08A,A8,unresolved,TBIN_F5A59A4CD60FBBFEE9F66FC0,1,
9,ANODE_E488BDA6398875DB653D7A71,A8,complete,TBIN_930735872F0BFB78A3A5A3F0,0.279069767442,EVID_18557647961C4C1481271E6B
10,ANODE_62B6852738502414C4FA08E3,A2,active,TBIN_2CD0EA2BC01A7823B798C53C,0.046511627907,EVID_13F7D774F4C5A2AA4A6C1B6F
11,ANODE_7043CA899EEFE3AFF2A42967,A8,unresolved,TBIN_C2FF16FBE1D92899645531B3,0.674418604651,
12,ANODE_04B045B567F1636F7DA030D4,A8,unresolved,TBIN_9B48F9D0951852A2B039D7AF,0.581395348837,
13,ANODE_C38ECD979BA360965DD47CA7,A8,unresolved,TBIN_9A93E73037A801FB8E33872F,0.395348837209,
14,ANODE_E4D3347772CAED46EC96CEF9,A8,unresolved,TBIN_34159A75C1C44A3950B8F0C5,0.348837209302,
15,ANODE_A3F2095FB0FDD68ED4AF8085,A2,unresolved,TBIN_B3F36A387DB4B743869D77A6,0.279069767442,
16,ANODE_94427A590D387E143DDD4B93,A8,unresolved,TBIN_9CA2FF053126E599557EC1C4,0.209302325581,
